true,N,fr,pred,correct,d_cvll
step,40,5.0,ramp,0,-0.29675693141058446
step,40,5.0,step,1,1.6943223887235774
step,40,5.0,ramp,0,-0.037840624263992595
step,40,5.0,step,1,1.2209397610640167
step,40,5.0,step,1,1.0628585354316726
step,40,5.0,step,1,0.12521197778477244
step,40,5.0,step,1,0.9159851881126144
step,40,5.0,ramp,0,-0.1319484133409219
step,40,5.0,step,1,1.0421814171555752
step,40,5.0,step,1,0.3551585080500388
step,40,5.0,ramp,0,-0.05450282929720629
step,40,5.0,ramp,0,-0.04042223303076753
step,40,5.0,step,1,0.036945741093347806
step,40,5.0,ramp,0,-0.8490117558750967
step,40,5.0,ramp,0,-0.04636662530251101
step,40,5.0,ramp,0,-1.085539601375359
step,40,5.0,ramp,0,-0.13760663360073977
step,40,10.0,ramp,0,-0.06595902908202333
step,40,10.0,ramp,0,-0.2759725933355526
step,40,10.0,step,1,1.108138304212389
step,40,10.0,ramp,0,-1.3792667762126598
step,40,10.0,step,1,1.1420759052937228
step,40,10.0,step,1,0.7150619288607345
step,40,10.0,ramp,0,-0.3725817378415286
step,40,10.0,ramp,0,-1.1397660888360974
step,40,10.0,ramp,0,-0.7014823746497996
step,40,10.0,step,1,0.7000343796102015
step,40,10.0,ramp,0,-0.253739871919322
step,40,10.0,ramp,0,-0.03304894703518357
step,40,10.0,ramp,0,-0.985653455779584
step,40,10.0,ramp,0,-2.48924077590857
step,40,10.0,step,1,2.2891991465145907
step,40,10.0,step,1,1.5890692827461521
step,40,10.0,step,1,2.9906854995510344
step,40,10.0,step,1,0.37047042767056837
step,40,10.0,ramp,0,-0.05534538462097771
step,40,10.0,step,1,0.9919252806465124
step,40,10.0,step,1,2.853215954743007
step,40,10.0,ramp,0,-0.23032053165530897
step,40,10.0,ramp,0,-1.2539662504403282
step,40,10.0,step,1,0.2516547612963791
step,40,10.0,step,1,2.744840362720197
step,40,10.0,step,1,1.2074331162551175
step,40,10.0,step,1,1.1156630564603347
step,40,10.0,ramp,0,-0.3043206360093791
step,40,10.0,step,1,2.7572189373627793
step,40,10.0,step,1,0.49405617173897554
step,40,10.0,step,1,0.3289761454680047
step,40,10.0,ramp,0,-0.037439602046163145
step,40,10.0,step,1,1.2264248628886207
step,40,10.0,ramp,0,-0.0857004065583169
step,40,10.0,step,1,2.7726678296982072
step,40,10.0,step,1,1.1178848890568815
step,40,10.0,ramp,0,-0.8974505620321906
step,40,10.0,ramp,0,-0.49473108897075235
step,40,10.0,ramp,0,-0.19501648998925702
step,40,10.0,ramp,0,-1.3533847854501175
step,40,10.0,step,1,1.7305455054097933
step,40,10.0,step,1,0.8850730638807818
step,40,10.0,step,1,5.071402297139173
step,40,10.0,ramp,0,-0.189705772586251
step,40,10.0,step,1,1.8593325886106982
step,40,10.0,ramp,0,-0.5285017078010696
step,40,10.0,ramp,0,-0.3661215956410615
step,40,10.0,step,1,0.6732267954132567
step,40,10.0,ramp,0,-0.5673827640689524
step,40,10.0,step,1,0.295879214316642
step,40,10.0,step,1,1.7418031942152652
step,40,10.0,step,1,0.6855146571693354
step,40,10.0,ramp,0,-1.4890597786800868
step,40,10.0,step,1,0.4865134339423207
step,40,10.0,step,1,2.6319363034496064
step,40,10.0,step,1,0.2467511363690562
step,40,10.0,ramp,0,-0.8218918402721442
step,40,10.0,step,1,1.58982861401131
step,40,10.0,ramp,0,-0.07677794261729787
step,40,10.0,step,1,0.020371705107720572
