cell,auc_before,auc_after,n
6981808a-357c-4ffd-9989-33160ba9e256:403,0.5277777777777778,0.4910130718954248,70
6981808a-357c-4ffd-9989-33160ba9e256:405,0.41666666666666663,0.41993464052287577,70
6981808a-357c-4ffd-9989-33160ba9e256:415,0.5473856209150327,0.5359477124183006,70
6981808a-357c-4ffd-9989-33160ba9e256:422,0.5812908496732027,0.6045751633986929,70
6981808a-357c-4ffd-9989-33160ba9e256:430,0.8031045751633987,0.8366013071895425,70
6981808a-357c-4ffd-9989-33160ba9e256:432,0.44526143790849676,0.45996732026143794,70
6981808a-357c-4ffd-9989-33160ba9e256:433,0.4763071895424837,0.5016339869281046,70
6981808a-357c-4ffd-9989-33160ba9e256:436,0.41666666666666663,0.4624183006535948,70
6981808a-357c-4ffd-9989-33160ba9e256:442,0.5408496732026143,0.5196078431372549,70
6981808a-357c-4ffd-9989-33160ba9e256:444,0.6127450980392157,0.6029411764705882,70
6981808a-357c-4ffd-9989-33160ba9e256:445,0.5600490196078431,0.559640522875817,70
6981808a-357c-4ffd-9989-33160ba9e256:448,0.5661764705882353,0.5620915032679737,70
6981808a-357c-4ffd-9989-33160ba9e256:449,0.6372549019607843,0.6176470588235294,70
6981808a-357c-4ffd-9989-33160ba9e256:452,0.6119281045751634,0.5947712418300654,70
6981808a-357c-4ffd-9989-33160ba9e256:459,0.5902777777777777,0.5890522875816994,70
6981808a-357c-4ffd-9989-33160ba9e256:464,0.517156862745098,0.4926470588235294,70
6981808a-357c-4ffd-9989-33160ba9e256:470,0.494281045751634,0.5,70
6981808a-357c-4ffd-9989-33160ba9e256:474,0.6470588235294117,0.6421568627450981,70
6981808a-357c-4ffd-9989-33160ba9e256:479,0.5629084967320261,0.602124183006536,70
6981808a-357c-4ffd-9989-33160ba9e256:481,0.47467320261437906,0.47058823529411764,70
6981808a-357c-4ffd-9989-33160ba9e256:488,0.7116013071895425,0.7165032679738562,70
6981808a-357c-4ffd-9989-33160ba9e256:496,0.5326797385620915,0.4795751633986929,70
6981808a-357c-4ffd-9989-33160ba9e256:502,0.6119281045751634,0.6225490196078431,70
6981808a-357c-4ffd-9989-33160ba9e256:503,0.5678104575163399,0.5187908496732027,70
6981808a-357c-4ffd-9989-33160ba9e256:504,0.3251633986928105,0.33496732026143794,70
6981808a-357c-4ffd-9989-33160ba9e256:512,0.5919117647058824,0.582516339869281,70
6981808a-357c-4ffd-9989-33160ba9e256:513,0.6070261437908497,0.6160130718954249,70
6981808a-357c-4ffd-9989-33160ba9e256:514,0.5261437908496731,0.5392156862745098,70
6981808a-357c-4ffd-9989-33160ba9e256:515,0.6262254901960784,0.6225490196078431,70
6981808a-357c-4ffd-9989-33160ba9e256:517,0.31862745098039214,0.33496732026143794,70
6981808a-357c-4ffd-9989-33160ba9e256:518,0.5334967320261439,0.5032679738562091,70
6981808a-357c-4ffd-9989-33160ba9e256:529,0.5857843137254902,0.5678104575163399,70
