cell,auc_before,auc_after,n
b83407f8-8220-46f9-9b90-a4c9f150c572:393,0.5868347338935574,0.5252100840336134,55
b83407f8-8220-46f9-9b90-a4c9f150c572:395,0.5546218487394958,0.603641456582633,55
b83407f8-8220-46f9-9b90-a4c9f150c572:402,0.49299719887955185,0.41736694677871156,55
b83407f8-8220-46f9-9b90-a4c9f150c572:405,0.5154061624649859,0.49159663865546216,55
b83407f8-8220-46f9-9b90-a4c9f150c572:422,0.42296918767507,0.4173669467787115,55
b83407f8-8220-46f9-9b90-a4c9f150c572:444,0.4887955182072829,0.45798319327731096,55
b83407f8-8220-46f9-9b90-a4c9f150c572:461,0.44117647058823534,0.4313725490196079,55
b83407f8-8220-46f9-9b90-a4c9f150c572:463,0.7801120448179272,0.7563025210084033,55
b83407f8-8220-46f9-9b90-a4c9f150c572:465,0.6806722689075629,0.6638655462184874,55
b83407f8-8220-46f9-9b90-a4c9f150c572:492,0.5252100840336135,0.5,55
b83407f8-8220-46f9-9b90-a4c9f150c572:497,0.6862745098039216,0.6890756302521008,55
b83407f8-8220-46f9-9b90-a4c9f150c572:498,0.5105042016806722,0.5224089635854342,55
b83407f8-8220-46f9-9b90-a4c9f150c572:499,0.546218487394958,0.5518207282913166,55
b83407f8-8220-46f9-9b90-a4c9f150c572:508,0.4565826330532212,0.4467787114845939,55
b83407f8-8220-46f9-9b90-a4c9f150c572:510,0.5056022408963585,0.5014005602240896,55
b83407f8-8220-46f9-9b90-a4c9f150c572:514,0.48879551820728295,0.5210084033613446,55
b83407f8-8220-46f9-9b90-a4c9f150c572:515,0.4957983193277311,0.49299719887955185,55
b83407f8-8220-46f9-9b90-a4c9f150c572:540,0.4635854341736695,0.4145658263305323,55
b83407f8-8220-46f9-9b90-a4c9f150c572:547,0.4229691876750701,0.411764705882353,55
b83407f8-8220-46f9-9b90-a4c9f150c572:550,0.5084033613445378,0.5602240896358543,55
c0c3bcca-6a79-47ef-becb-b1a157a3f2cb:371,0.5155195681511471,0.5,77
c736dc60-0726-410d-8419-cb6ea025d5b1:1001,0.40631668800682885,0.3876796130317257,170
c736dc60-0726-410d-8419-cb6ea025d5b1:1005,0.597524541186513,0.5252525252525253,170
c736dc60-0726-410d-8419-cb6ea025d5b1:1006,0.5039123630672927,0.5152937828994167,170
c736dc60-0726-410d-8419-cb6ea025d5b1:1013,0.5103144117228624,0.5144401764120073,170
c736dc60-0726-410d-8419-cb6ea025d5b1:1017,0.523118509034002,0.5231185090340019,170
c736dc60-0726-410d-8419-cb6ea025d5b1:1032,0.5026319533361787,0.5023474178403755,170
c736dc60-0726-410d-8419-cb6ea025d5b1:1037,0.40916204296485986,0.40574761701522266,170
c736dc60-0726-410d-8419-cb6ea025d5b1:1045,0.4372599231754161,0.44956608336890025,170
c736dc60-0726-410d-8419-cb6ea025d5b1:953,0.600085360648741,0.5868544600938967,170
c736dc60-0726-410d-8419-cb6ea025d5b1:962,0.4989329918907384,0.49978659837814765,170
