cell,region,fr_window,n,auc_move_none,p_move_none,auc_move_linear,p_move_linear,auc_move_expanded,p_move_expanded,auc_move_pca_expanded,p_move_pca_expanded,dataset
c736dc60-0726-410d-8419-cb6ea025d5b1:762,MRN,16.439096531286307,170,0.5770379854886897,0.08245877061469266,0.5672215108834827,0.13543228385807096,0.5511452553706074,0.24437781109445278,0.5739080950348556,0.10094952523738131,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:774,MRN,14.377935439698057,170,0.5776070564802959,0.07846076961519241,0.5888462085645184,0.04047976011994003,0.5939678474889742,0.03698150924537731,0.5813060179257362,0.07246376811594203,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:777,MRN,21.32725821453315,170,0.5079669938824869,0.8580709645177411,0.5080381277564376,0.8675662168915542,0.49551856594110116,0.9230384807596201,0.5037700953193911,0.9400299850074962,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:780,MRN,12.292683636804371,170,0.5571916346564234,0.2028985507246377,0.4733247972684592,0.5592203898050975,0.4243846919903258,0.08995502248875563,0.5039123630672926,0.9220389805097451,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:806,MRN,20.14390826433576,170,0.5271020059752454,0.5712143928035982,0.513302034428795,0.7726136931534233,0.5346421966140276,0.45377311344327836,0.5128752311850904,0.7606196901549226,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:821,MRN,20.86168955124088,170,0.48598662683169724,0.735632183908046,0.4660691421254802,0.45977011494252873,0.48655569782330343,0.768615692153923,0.4855598235879926,0.7486256871564217,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:829,MRN,73.16991411013909,170,0.4403186797552995,0.19290354822588707,0.41286100441030016,0.054972513743128434,0.42922179541897854,0.12143928035982009,0.41812491108265754,0.06996501749125437,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:832,MRN,14.130142808773725,170,0.3860435339308579,0.0074962518740629685,0.39564660691421255,0.015992003998001,0.3937971261914924,0.01699150424787606,0.39593114241001565,0.018490754622688656,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:853,MRN,30.20295042513353,170,0.4332052923602219,0.13943028485757122,0.4785887039408166,0.6166916541729135,0.5117370892018779,0.7866066966516742,0.4465784606629677,0.23588205897051473,IBL
c736dc60-0726-410d-8419-cb6ea025d5b1:855,MRN,28.237222688474617,170,0.3484848484848485,0.0004997501249375312,0.3363209560392659,0.0009995002498750624,0.37345283824157066,0.005997001499250375,0.3484137146108977,0.0029985007496251873,IBL
